months,race,contrabn,stops,month_tot,race_prop
2009-11-01,B,0,23335,23335.0,1.0
2009-11-01,H,0,12389,12802.0,0.9677394157162943
2009-11-01,H,1,413,12802.0,0.03226058428370567
2009-11-01,W,0,3684,3684.0,1.0
2009-12-01,A,0,1154,1200.0,0.9616666666666667
2009-12-01,A,1,46,1200.0,0.03833333333333333
2009-12-01,B,0,17524,18265.0,0.9594306049822064
2009-12-01,B,1,741,18265.0,0.040569395017793594
2009-12-01,H,0,10147,10147.0,1.0
2009-12-01,W,0,3169,3276.0,0.9673382173382173
2009-12-01,W,1,107,3276.0,0.032661782661782664
2010-01-01,A,0,1523,1625.0,0.9372307692307692
2010-01-01,A,1,102,1625.0,0.06276923076923077
2010-01-01,B,0,28143,29647.0,0.9492697406145647
2010-01-01,B,1,1504,29647.0,0.05073025938543529
2010-01-01,H,0,16827,16827.0,1.0
2010-01-01,W,0,4746,4746.0,1.0
2010-02-01,A,0,1495,1495.0,1.0
2010-02-01,B,0,23758,24510.0,0.9693186454508363
2010-02-01,B,1,752,24510.0,0.030681354549163608
2010-02-01,H,0,14760,14760.0,1.0
2010-02-01,W,0,4110,4110.0,1.0
2010-03-01,A,0,1495,1495.0,1.0
2010-03-01,B,0,24082,24986.0,0.9638197390538702
2010-03-01,B,1,904,24986.0,0.03618026094612983
